Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.9565341287500816,67.01966793097765,73,148,1.07848722581666e-85,[0.94 0.97]
ICC2,Single random raters,0.9569175562494968,173.745378240335,73,146,4.204643911554401e-114,[0.79 0.98]
ICC3,Single fixed raters,0.9829298498200196,173.745378240335,73,146,4.204643911554401e-114,[0.98 0.99]
ICC1k,Average raters absolute,0.985079006941218,67.01966793097765,73,148,1.07848722581666e-85,[0.98 0.99]
ICC2k,Average random raters,0.985214522412164,173.745378240335,73,146,4.204643911554401e-114,[0.92 0.99]
ICC3k,Average fixed raters,0.994244451218629,173.745378240335,73,146,4.204643911554401e-114,[0.99 1.  ]
ICC1,Single raters absolute,0.9324421788925152,42.4064055178303,29,60,3.745743898750777e-30,[0.88 0.96]
ICC2,Single random raters,0.9332593785947878,92.94154328156078,29,58,8.244728835442764e-39,[0.74 0.98]
ICC3,Single fixed raters,0.9684016090711404,92.94154328156078,29,58,8.244728835442764e-39,[0.94 0.98]
ICC1k,Average raters absolute,0.9764186568564615,42.4064055178303,29,60,3.745743898750777e-30,[0.96 0.99]
ICC2k,Average random raters,0.976717186574196,92.94154328156078,29,58,8.244728835442764e-39,[0.89 0.99]
ICC3k,Average fixed raters,0.9892405487934436,92.94154328156078,29,58,8.244728835442764e-39,[0.98 0.99]
