Image name,IoU
001_,0.8929440389294404
002_,0.8957816377171216
003_,0.8358585858585859
004_,0.8823529411764706
005_,0.9155844155844156
006_,0.8337730870712401
007_,0.9037974683544304
008_,0.8830845771144279
009_,0.7380352644836272
010_,0.9036144578313253
011_,0.9300699300699301
012_,0.86328125
013_,0.9074074074074074
014_,0.7975903614457831
015_,0.8906666666666667
016_,0.8897058823529411
017_,0.9037656903765691
018_,0.8957528957528957
019_,0.9243697478991597
020_,0.8024691358024691
021_,0.8403614457831325
022_,0.866822429906542
023_,0.89568345323741
024_,0.7463054187192119
025_,0.925
026_,0.7674418604651163
027_,0.8257918552036199
028_,0.7842565597667639
029_,0.8932038834951457
030_,0.9203539823008849
031_,0.7600950118764845
032_,0.885558583106267
033_,0.9469026548672567
034_,0.916058394160584
035_,0.8184019370460048
036_,0.6055555555555555
037_,0.9144893111638955
038_,0.9102902374670184
039_,0.8957528957528957
040_,0.850415512465374
041_,0.7813267813267813
042_,0.9154228855721394
043_,0.930939226519337
044_,0.9154411764705882
045_,0.8611764705882353
046_,0.945054945054945
047_,0.8807947019867549
048_,0.8732394366197183
049_,0.8282828282828283
050_,0.8156182212581344
051_,0.8419811320754716
052_,0.8925
053_,0.7793427230046949
054_,0.8657142857142858
055_,0.9132075471698113
056_,0.9178470254957507
057_,0.8724373576309795
058_,0.8880597014925373
059_,0.9003215434083601
060_,0.8228699551569507
061_,0.8394495412844036
062_,0.9044117647058824
063_,0.945054945054945
064_,0.8670076726342711
065_,0.7785087719298246
066_,0.9377431906614786
067_,0.9
068_,0.9082278481012658
069_,0.8041958041958042
070_,0.8818897637795275
071_,0.8856447688564477
072_,0.8907766990291263
073_,0.9517684887459807
074_,0.8807588075880759
075_,0.9108910891089109
076_,0.8052631578947368
077_,0.8990825688073395
078_,0.8997050147492626
079_,0.7837837837837838
080_,0.8047058823529412
